repo_name,watch,fork,star
arsenetar/dupeguru,82,203,1318
getgauge/html-report,27,22,20
M66B/NetGuard,235,594,2601
dteviot/WebToEpub,16,22,121
liip/LiipImagineBundle,74,362,1305
sassoftware/saspy,44,104,206
MonkAlex/MangaReader,4,4,11
michael-simons/biking2,23,71,152
ambros-gleixner/rubberband,3,0,2
craigbarnes/dte,12,5,87
next-l/enju_circulation,4,2,3
datacarpentry/datacarpentry.github.io,18,64,63
City-of-Helsinki/kerrokantasi,9,12,6
OCA/social,61,264,46
EsriJapan/arcgis-dev-resources,17,40,6
amzn/amazon-payments-magento-2-plugin,30,50,58
DiligentGraphics/DiligentTools,5,17,20
rtfeldman/node-test-runner,14,61,124
CreativeMD/CreativeCore,4,7,9
Originate/git-town,38,64,1774
voyages-sncf-technologies/hesperides-gui,12,12,10
openforis/collect-earth,13,10,24
ngthuc/ngthuc.github.io,1,0,0
danap/lindyframe,1,0,1
wsv-accidis/sjoslaget,1,0,1
mochajs/mocha,406,2616,19141
OTHRegensburgMedieninformatik/SPL-for-C,3,1,2
smartboxgroup/integration-framework-bundle,12,4,7
leesavide/abcm2ps,9,18,45
itchio/butler,22,24,346
LogSentinel/logsentinel-java-client,5,3,0
jeisfeld/RandomImage,1,0,0
hmcts/cmc-legal-rep-frontend,77,0,3
seleniumbase/SeleniumBase,88,311,1419
hellodk/hellodk.github.io,1,0,0
movidius/ncappzoo,117,353,822
frmr/frmr.github.io,1,0,0
GlitchCog/ChatGameFontificator,8,7,51
onevcat/Kingfisher,333,1793,15860
AAChartModel/AAChartKit,66,591,3798
ngsxfem/ngsxfem,7,8,21
alacritty/alacritty,341,1039,21348
lausser/check_nwc_health,31,71,114
billvaglienti/ProtoGen,3,7,9
rururutan/hoot-patches,1,1,0
IsaacChanghau/IsaacChanghau.github.io,1,0,0
siteorigin/siteorigin-panels,54,188,564
ClintonMorrison/personal-website,1,0,0
perobertson/dotfiles,1,1,0
darakeon/dfm,1,0,12
pinterest/rocksplicator,34,69,366
skyfielders/python-skyfield,45,104,435
kaushik94/tardis,0,0,0
